2
8
******
1,1.0
2,0.5
3,0.5
4,0.5
5,1.0
6,1.0
8,0.5
-
1 2,0.5
1 3,0.5
1 4,0.5
1 5,1.0
1 6,1.0
1 8,0.5
2 3,0.5
2 4,0.5
2 5,0.5
2 6,0.5
3 4,0.5
3 5,0.5
3 6,0.5
4 5,0.5
4 6,0.5
5 6,1.0
5 8,0.5
6 8,0.5
-
1 2 3,0.5
1 2 4,0.5
1 2 5,0.5
1 2 6,0.5
1 3 4,0.5
1 3 5,0.5
1 3 6,0.5
1 4 5,0.5
1 4 6,0.5
1 5 6,1.0
1 5 8,0.5
1 6 8,0.5
2 3 4,0.5
2 3 5,0.5
2 3 6,0.5
2 4 5,0.5
2 4 6,0.5
2 5 6,0.5
3 4 5,0.5
3 4 6,0.5
3 5 6,0.5
4 5 6,0.5
5 6 8,0.5
-
1 2 3 4,0.5
1 2 3 5,0.5
1 2 3 6,0.5
1 2 4 5,0.5
1 2 4 6,0.5
1 2 5 6,0.5
1 3 4 5,0.5
1 3 4 6,0.5
1 3 5 6,0.5
1 4 5 6,0.5
1 5 6 8,0.5
2 3 4 5,0.5
2 3 4 6,0.5
2 3 5 6,0.5
2 4 5 6,0.5
3 4 5 6,0.5
-
1 2 3 4 5,0.5
1 2 3 4 6,0.5
1 2 3 5 6,0.5
1 2 4 5 6,0.5
1 3 4 5 6,0.5
2 3 4 5 6,0.5
-
1 2 3 4 5 6,0.5
-
